,STNAME,CERT,DOCKET,ACTIVE,ADDRESS,ASSET,BKCLASS,CHANGEC1,CHANGEC2,CHANGEC3,CHANGEC4,CHANGEC5,CHANGEC6,CHANGEC7,CHANGEC8,CHANGEC9,CHANGEC10,CHANGEC11,CHANGEC12,CHANGEC13,CHANGEC14,CHANGEC15,CHARTER,CHRTAGNT,CONSERVE,CITY,CLCODE,CMSA_NO,CMSA,COUNTY,DATEUPDT,DENOVO,DEP,EFFDATE,ENDEFYMD,EQ,ESTYMD,FDICDBS,FDICREGN,FDICSUPV,FED,FED_RSSD,FEDCHRTR,FLDOFF,IBA,INACTIVE,INSAGNT1,INSAGNT2,INSDATE,INSTCRCD,INSBIF,INSCOML,INSDIF,INSFDIC,INSSAIF,INSSAVE,MSA_NO,MSA,NAME,NEWCERT,OAKAR,OTSDIST,OTSREGNM,PROCDATE,QBPRCOML,REGAGNT,REPDTE,RISDATE,STCHRTR,ROA,ROAQ,ROE,ROEQ,RUNDATE,SASSER,LAW_SASSER_FLG,STALP,STCNTY,STNUM,ZIP,SUPRV_FD,OCCDIST,UNINUM,ULTCERT,CFPBEFFDTE,CFPBENDDTE,CFPBFLAG,REGAGENT2,TE01N528,TE02N528,TE03N528,TE04N528,TE05N528,TE06N528,TE07N528,TE08N528,TE09N528,TE10N528,TE01N529,TE02N529,TE03N529,TE04N529,TE05N529,TE06N529,WEBADDR,OFFICES,CERTCONS,PARCERT,CITYHCR,DEPDOM,FORM31,HCTMULT,INSTAG,MUTUAL,NAMEHCR,NETINC,NETINCQ,OFFDOM,OFFFOR,OFFOA,RSSDHCR,STALPHCR,SUBCHAPS,ROAPTX,ROAPTXQ,TRUST,SPECGRP,SPECGRPN,TRACT,CSA,CSA_NO,CSA_FLG,CBSA,CBSA_NO,CBSA_METRO_NAME,CBSA_METRO,CBSA_METRO_FLG,CBSA_MICRO_FLG,CBSA_DIV,CBSA_DIV_NO,CBSA_DIV_FLG,CB
4198,New York,33653,0,1,1045 Avenue Of The Americas,39186794.0,OI,,,,,,,,,,,,,,,,80028,OCC,N,New York,52,70,"New York-Northern New Jersey-Long Island, NY-NJ-CT-PA",New York,08/31/2022,0.0,19603363.0,08/31/2022,12/31/9999,,01/01/1912,2,New York,New York,2,908508,1,New York City,1,0,DIF,,11/16/1981,0.0,0,0,1,1,0,0,5600,"New York, NY",Bank of China,0,0,1.0,Northeast,08/31/2022,1,OCC,09/30/2023,09/30/2023,0,0.0,0.0,0.0,0.0,03/01/2024,0,N,NY,36061,36,10018,2,1,47737,33653,2011-07-21,9999-12-31,1,,,,,,,,,,,,,,,,,,,1.0,,0.0,,18335776.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.0,Commercial Lending Specialization,0.0,"New York-Newark, NY-NJ-CT-PA",408.0,1.0,"New York-Newark-Jersey City, NY-NJ-PA",35620.0,"New York-Newark-Jersey City, NY-NJ-PA",35620,1.0,0.0,"New York-Jersey City-White Plains, NY-NJ",35614.0,1.0,
4199,Massachusetts,28368,1452,1,1 College Ave,647703.0,SB,,,,,,,,,,,,,,,,701452,OCC,N,Somerville,38,7,"Boston-Worcester-Lawrence, MA-NH-ME-CT",Middlesex,08/31/2022,0.0,602601.0,08/31/2022,12/31/9999,40230.0,01/01/1890,2,New York,New York,1,87579,1,North Boston,0,0,DIF,,08/09/1989,0.0,0,0,1,1,0,1,1120,"Boston, MA-NH","Middlesex Federal Savings, F.A.",0,0,1.0,Northeast,08/31/2022,1,OCC,09/30/2023,09/30/2023,0,0.7011566606341962,0.68,11.12,10.83,03/01/2024,0,N,MA,25017,25,2144,2,1,41202,28368,9999-12-31,9999-12-31,0,,www.novo.co,,,,,,,,,,,,,,,,www.middlesexfederal.com,4.0,,0.0,SOMERVILLE,602601.0,0.0,,0.0,1.0,MIDDLESEX FEDERAL MHC,3325.0,1097.0,4.0,0.0,0.0,5399950.0,MA,0.0,0.9419749783617908,0.9,0.0,4.0,Commercial Lending Specialization,0.0,"Boston-Worcester-Providence, MA-RI-NH-CT",148.0,1.0,"Boston-Cambridge-Newton, MA-NH",14460.0,"Boston-Cambridge-Newton, MA-NH",14460,1.0,0.0,"Cambridge-Newton-Framingham, MA",15764.0,1.0,1.0
4200,Kansas,5830,12352,1,610 Oregon St,105073.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Hiawatha,21,0,,Brown,08/31/2022,0.0,82966.0,08/31/2022,12/31/9999,14117.0,01/01/1907,11,Kansas City,Kansas City,10,678557,0,Kansas City,0,0,DIF,,01/01/1934,0.0,0,1,1,1,0,0,0,,Citizens State Bank and Trust Company,0,0,4.0,Western,08/31/2022,4,FDIC,09/30/2023,09/30/2023,1,1.339814896760342,1.26,10.51,9.54,03/01/2024,0,N,KS,20013,20,66434,11,4,3987,5830,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,www.csbkansas.com,2.0,,0.0,HIAWATHA,82966.0,0.0,,1.0,0.0,CROSSDALE INC,1073.0,333.0,2.0,0.0,0.0,1051951.0,KS,1.0,1.3960047106971691,1.29,1.0,2.0,Agricultural Specialization,1.0,,,,,,,0,,,,,,1.0
4202,Pennsylvania,29471,3506,1,935 5th Ave,92604.0,SI,,,,,,,,,,,,,,,,0,STATE,N,Ford City,42,0,,Armstrong,08/31/2022,0.0,79128.0,08/31/2022,12/31/9999,12091.0,01/01/1925,2,New York,New York,4,269571,0,Wexford,0,0,DIF,,08/09/1989,0.0,0,0,1,1,0,1,0,,Armstrong County Building and Loan Association,0,0,1.0,Northeast,08/31/2022,1,FDIC,09/30/2023,09/30/2023,1,-0.4553114101851628,-0.54,-3.45,-4.15,03/01/2024,0,N,PA,42005,42,16226,2,1,42305,29471,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,www.acbla.com,1.0,,0.0,,79128.0,0.0,,0.0,1.0,,-318.0,-126.0,1.0,0.0,0.0,,,0.0,-0.4553114101851628,-0.54,0.0,5.0,Mortgage Lending Specialization,0.0,"Pittsburgh-New Castle-Weirton, PA-OH-WV",430.0,1.0,"Pittsburgh, PA",38300.0,"Pittsburgh, PA",38300,1.0,0.0,,,0.0,1.0
4204,Illinois,11715,0,1,107 E Main St,85928.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Yates City,21,0,,Knox,08/31/2022,0.0,74799.0,08/31/2022,12/31/9999,5827.0,01/01/1871,9,Chicago,Chicago,7,371849,0,Princeton,0,0,DIF,,01/01/1934,0.0,0,1,1,1,0,0,0,,Bank of Yates City,0,0,3.0,Central,08/31/2022,3,FDIC,09/30/2023,09/30/2023,1,0.6593740128368186,0.36,9.49,5.3,03/01/2024,0,N,IL,17095,17,61572,9,3,7489,11715,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,http://www.bankofyatescity.com,2.0,,0.0,YATES CITY,74799.0,0.0,,1.0,0.0,FIRST BCORP INC,418.0,78.0,2.0,0.0,0.0,1142297.0,IL,1.0,0.6593740128368186,0.36,0.0,2.0,Agricultural Specialization,0.0,,,0.0,"Galesburg, IL",23660.0,,0,0.0,1.0,,,0.0,1.0
4206,Illinois,9259,11794,1,100 E 4th St,221239.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Hoffman,21,0,,Clinton,08/31/2022,0.0,150296.0,08/31/2022,12/31/9999,14623.0,01/01/1911,9,Chicago,Chicago,8,837541,0,Mount Vernon,0,0,DIF,,12/16/1933,0.0,0,1,1,1,0,0,7040,"St. Louis, MO-IL",Farmers State Bank of Hoffman,0,0,3.0,Central,08/31/2022,3,FDIC,09/30/2023,09/30/2023,1,0.4510605495145161,0.6,5.56,7.92,03/01/2024,0,N,IL,17027,17,62250,9,3,5919,9259,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,www.fsbhoffman.com,3.0,,0.0,HOFFMAN,150296.0,0.0,,1.0,0.0,FARMERS STATE BCORP INC,664.0,307.0,3.0,0.0,0.0,1491520.0,IL,0.0,0.5373326726897323,0.7,0.0,2.0,Agricultural Specialization,0.0,"St. Louis-St. Charles-Farmington, MO-IL",476.0,1.0,"St. Louis, MO-IL",41180.0,"St. Louis, MO-IL",41180,1.0,0.0,,,0.0,1.0
4207,Missouri,8898,13466,1,8924 Saint Charles Rock Rd,335874.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Saint Louis,21,0,,St. Louis,08/31/2022,0.0,305738.0,08/31/2022,12/31/9999,28930.0,01/01/1926,11,Kansas City,Kansas City,8,173557,0,St. Louis,0,0,DIF,,01/01/1934,0.0,0,1,1,1,0,0,7040,"St. Louis, MO-IL",St. Johns Bank and Trust Company,0,0,5.0,West,08/31/2022,4,FDIC,09/30/2023,09/30/2023,1,1.179673079976329,1.13,14.84,13.45,03/01/2024,0,N,MO,29189,29,63114,11,4,5687,8898,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,https://www.stjohnsbank.com,4.0,,0.0,SAINT LOUIS,305738.0,0.0,,0.0,0.0,UNITY BANCSHARES L L C,3065.0,957.0,4.0,0.0,0.0,2630746.0,MO,0.0,1.5483930834403823,1.49,1.0,4.0,Commercial Lending Specialization,0.0,"St. Louis-St. Charles-Farmington, MO-IL",476.0,1.0,"St. Louis, MO-IL",41180.0,"St. Louis, MO-IL",41180,1.0,0.0,,,0.0,1.0
4208,Georgia,59285,0,1,250 Doc Darbyshire Rd,74333.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Moultrie,21,0,,Colquitt,08/31/2022,0.0,55163.0,08/31/2022,12/31/9999,19020.0,05/09/2022,5,Atlanta,Atlanta,6,5686324,0,Albany Ga,0,0,DIF,,05/09/2022,0.0,0,1,1,1,0,0,0,,Moultrie Bank & Trust,0,0,2.0,Southeast,08/31/2022,2,FDIC,09/30/2023,09/30/2023,1,-0.2307037104223936,0.14,-0.87,0.61,03/01/2024,0,N,GA,13071,13,31788,5,5,634922,59285,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,www.mbtga.com,1.0,,0.0,,55163.0,0.0,,1.0,0.0,,-124.0,29.0,1.0,0.0,0.0,,,0.0,-0.2307037104223936,0.14,0.0,2.0,Agricultural Specialization,0.0,,,0.0,"Moultrie, GA",34220.0,,0,0.0,1.0,,,0.0,1.0
4209,Kentucky,8121,13850,1,1 W 2nd St,69814.0,NM,,,,,,,,,,,,,,,,0,STATE,N,Maysville,21,0,,Mason,11/27/2023,0.0,58587.0,11/27/2023,12/31/9999,11006.0,01/01/1928,9,Chicago,Chicago,4,835613,0,Lexington,0,0,DIF,,01/01/1934,0.0,0,1,1,1,0,0,0,,Security Bank and Trust Co.,0,0,2.0,Southeast,11/27/2023,3,FDIC,09/30/2023,09/30/2023,1,1.2077365498975383,1.33,7.77,8.52,03/01/2024,0,N,KY,21161,21,41056,9,3,5170,8121,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,https://securitybankandtrustmaysvilleky.net,3.0,,0.0,MAYSVILLE,58587.0,0.0,,0.0,0.0,SECURITY BCORP MAYSVILLE INC,631.0,233.0,3.0,0.0,0.0,2952484.0,KY,1.0,1.2077365498975383,1.33,1.0,7.0,Other Specialized Under 1 Billion,0.0,"Cincinnati-Wilmington-Maysville, OH-KY-IN",178.0,1.0,"Maysville, KY",32500.0,,0,0.0,1.0,,,0.0,1.0
4211,Arkansas,1299,13695,1,301 Shoppingway Blvd,1478148.0,SM,,,,,,,,,,,,,,,,0,STATE,N,West Memphis,13,0,,Crittenden,08/31/2022,0.0,1234830.0,08/31/2022,12/31/9999,152253.0,06/05/1925,13,Dallas,Dallas,8,592448,0,Little Rock,0,0,DIF,,01/01/1934,0.0,0,1,1,1,0,0,4920,"Memphis, TN-AR-MS",Evolve Bank & Trust,0,0,4.0,Western,08/31/2022,5,FED,09/30/2023,09/30/2023,1,1.7617717085332936,1.8,20.8,17.97,03/01/2024,0,N,AR,5035,5,72301,13,5,874,1299,9999-12-31,9999-12-31,0,,,,,,,,,,,,,,,,,,www.getevolved.com,24.0,,0.0,WEST MEMPHIS,1234830.0,0.0,,0.0,0.0,EVOLVE BCORP INC,21411.0,6702.0,20.0,0.0,0.0,1142411.0,AR,0.0,2.357668710690975,2.43,1.0,4.0,Commercial Lending Specialization,1.0,,,,,,,0,,,,,,1.0
